lr-Adam,step,train_loss_step,epoch
1e-05,0,,
,49,4.909258842468262,0
,99,2.85360050201416,0
,149,5.1375226974487305,0
,199,3.795523166656494,0
,249,4.613126754760742,0
,299,4.178318977355957,0
,349,4.100546836853027,0
,399,4.2122697830200195,0
,449,4.526267051696777,0
,499,3.226818561553955,0
,549,3.859750747680664,0
,599,4.148534774780273,0
,649,3.736781597137451,0
,699,2.9369406700134277,0
,749,2.2944936752319336,0
,799,4.416404724121094,0
,849,3.50600266456604,0
,899,3.8035497665405273,0
,949,3.2090775966644287,0
,999,2.618943452835083,0
,1049,3.077725410461426,0
,1099,3.2282981872558594,0
,1149,3.3705315589904785,0
,1199,2.7355997562408447,0
,1249,2.312011241912842,0
,1299,2.686769962310791,0
,1349,3.5288541316986084,0
,1399,3.420631170272827,0
,1449,5.049090385437012,0
,1499,3.087615966796875,0
,1549,4.151949405670166,0
,1599,4.272072792053223,0
,1649,3.8291420936584473,0
,1699,3.487119674682617,0
,1749,2.5908896923065186,0
,1799,3.048072099685669,0
,1849,2.687760353088379,0
,1899,2.8222951889038086,0
