lr-Adam,step,train_loss_step,epoch,val_loss,val_MAE,val_RMSE,train_loss_epoch
1e-05,0,,,,,,
,49,2.7008914947509766,0,,,,
,99,1.7491132020950317,0,,,,
,149,3.138770580291748,0,,,,
,199,1.9830247163772583,0,,,,
,249,2.388855457305908,0,,,,
,262,,0,1.8513025045394897,1.881089448928833,2.8236753940582275,
,262,,0,,,,2.3657872676849365
1e-05,263,,,,,,
,299,3.070979118347168,1,,,,
,349,1.915912389755249,1,,,,
,399,1.6391361951828003,1,,,,
,449,3.09944224357605,1,,,,
,499,3.292837619781494,1,,,,
